,col1,ra,dec,type,u,g,r,i,z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,specobjid,redshift,redshiftErr,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6717_flux,sii_6731_flux,oi_6300_flux,h_alpha_flux_err,h_beta_flux_err,oiii_5007_flux_err,nii_6584_flux_err,sii_6717_flux_err,sii_6731_flux_err,oi_6300_flux_err,logMass,logMass_err,Log_NII_on_Halpha,Log_OIII_on_Hbeta,Log_NII_on_Halpha_err,Log_OIII_on_Hbeta_err,Category
0,0,231.0474283653664,29.205685032518414,3,19.382425,18.034733,17.33409,16.951532,16.721483,0.058515076,0.0071588117,0.005852417,0.006531153,0.01786674,1857769534157514752,0.1131205,1.5870904e-05,157.1422,51.90448,41.151432,58.459305,39.16754,25.845774,6.6770453,3.9091172,3.4517655,3.918119,3.1832082,2.979821,2.5645254,2.2080984,10.778925165226823,0.0371789090240045,-0.4294391811061281,-0.10081989194107677,0.05986499413930621,0.11613749273266755,SF
1,1,229.8597414130735,29.86377628368024,3,19.422487,18.254957,17.601965,17.198927,16.918207,0.043104615,0.008059531,0.0065957117,0.0069526234,0.01805759,1857817362913323008,0.11688341,1.7592842e-05,166.45204,39.162464,15.863609,66.985725,28.30199,18.632284,2.120775,3.7259028,2.6075149,2.577735,2.947657,2.2150583,2.3163056,1.9406677,10.775152113849536,0.0233599812433148,-0.3953068599545416,-0.39246801165634027,0.04937032370147959,0.17560561819851433,SF
2,2,232.2133403499588,29.05734433531443,3,17.997217,16.286243,15.456526,15.039251,14.720391,0.023839504,0.0036218392,0.003000835,0.0031133594,0.006252548,1858872348816467968,0.06946315,1.3110902e-05,92.33713,23.303383,16.697584,45.871876,13.7371025,3.4666235,5.7160378,4.6219616,3.4012637,3.6509342,4.3211546,4.587541,3.6846292,3.3585205,11.043897207686529,0.0368851748330049,-0.3038298701632099,-0.14476533609168282,0.10667366075774466,0.26288992139973505,Comp.
3,3,231.6707271348136,29.09801368504558,3,20.501167,18.550814,17.664074,17.271608,16.950691,0.09149404,0.0090768775,0.0066385935,0.0069541535,0.015833264,1858899286851348480,0.083313435,2.4211595e-05,22.25338,6.5070887,9.979885,19.864395,14.611607,6.3671684,1.2318425,1.7047523,1.5974768,1.9275396,1.740892,5.2602463,1.6903211,1.539573,10.215333165485696,0.0770770491352055,-0.049320641528221736,0.18573881009584853,0.11640063898807958,0.31236716435636536,Liner
4,4,231.9713891169381,29.875638833990184,3,19.86829,18.084444,17.304787,16.932262,16.6457,0.07106151,0.008133741,0.0064953263,0.006684493,0.020096121,1859013361182730240,0.087284,2.4801227e-05,24.112293,7.559874,10.876741,14.932911,9.474834,8.887241,2.4805522,1.6293151,1.5030386,2.0559795,1.684375,2.2444994,3.2091272,1.4470074,10.275368366552051,0.0574878656598116,-0.20809403560851902,0.15798422991461522,0.1314874303584503,0.27433400804236413,Comp.
5,7,229.14694209889217,28.634949689892263,3,18.40385,16.65346,15.774157,15.399903,14.897164,0.046992697,0.008286693,0.004468805,0.008066764,0.010010645,2077302714957588480,0.057059605,2.8093837e-05,38.441708,7.9663086,8.501637,17.00972,8.502166,7.231544,3.8092566,2.1243155,1.8348552,1.9661617,1.9460343,1.7376016,1.726187,1.6401783,11.018986720134745,0.0137236729414916,-0.35410551085008896,0.028245431508325574,0.12705412218616657,0.32639799171977724,Comp.
6,8,230.4428171715413,27.35984909615557,3,19.860071,18.290281,17.464886,17.047518,16.707533,0.05823455,0.008713993,0.006514251,0.0066253147,0.015650846,2078446482414921728,0.1191229,2.5883885e-05,67.844604,13.241584,12.58626,45.1309,17.680872,13.755029,3.841661,5.677833,2.745517,2.9315443,3.3665104,2.543386,2.625213,2.3080025,10.77879025422216,0.077031847855284,-0.17704131758628489,-0.02204324096613949,0.1121076799359946,0.3118333959171011,Comp.
7,10,229.0668067326714,28.45005619755982,3,19.398901,17.992533,17.07666,16.765457,16.667809,0.060658548,0.00937934,0.00643187,0.007181218,0.02298631,2078506680676542464,0.11481512,1.5899646e-05,118.480995,35.727837,37.39667,37.245834,31.633322,20.930412,7.5887694,3.208575,2.0998046,2.7204454,2.9268582,2.0525491,1.8131378,1.5313729,10.474343162818403,0.0097056277420633,-0.5025709893815338,0.01982620764933585,0.08311758463023508,0.09352061661714385,SF
8,13,231.89070336045995,29.5708789045714,3,19.40005,17.851448,17.04399,16.582102,16.234308,0.04445794,0.006707693,0.00514432,0.0051625837,0.013266394,1857735999052867584,0.08549557,1.5351261e-05,122.59148,28.959003,11.975731,44.213707,16.099306,14.741081,3.6396925,3.506821,3.0866446,3.0126708,2.8884163,2.8714607,2.7706113,2.3810506,10.871218615334469,0.0230504257484509,-0.4429033592587599,-0.38348157361947605,0.07131693427181264,0.2732133000991887,SF
9,17,232.2980767459926,29.0320609382536,3,17.713142,16.097881,15.242998,14.825355,14.495259,0.022630626,0.0035063683,0.002859382,0.002968695,0.0059562502,1858873173450188800,0.08303917,1.4925272e-05,100.194756,16.961195,16.728872,74.87348,21.96256,11.288369,5.7331214,4.966555,3.5665495,3.912061,4.752071,4.836839,4.2085104,3.7133293,11.45064133921895,0.0581396236392654,-0.12651697307931567,-0.005989788995486793,0.0805312086063522,0.3144879106685193,Comp.
